dir,RSEED,sigmaobs,nobs,mae,acc
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564288.974.h5,228.0,1.2,2000.0,3.572431983947754,0.8375
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564289.009.h5,228.0,1.7,2000.0,3.6429732131958006,0.8125
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564288.974.h5,228.0,1.1,2000.0,3.5387951850891115,0.8325
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564289.009.h5,228.0,1.5,2000.0,3.6552520751953126,0.835
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564231.029.h5,225.0,1.8,2000.0,3.8091106414794917,0.8325
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564243.148.h5,225.0,1.9,2000.0,3.870528583526611,0.8275
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564243.148.h5,226.0,0.0,2000.0,3.710776081085205,0.8475
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564243.148.h5,225.0,2.0,2000.0,3.9233247375488283,0.8375
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564246.232.h5,226.0,0.3,2000.0,3.652626876831056,0.84
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564246.166.h5,226.0,0.6,2000.0,3.722138967514038,0.845
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564246.214.h5,226.0,1.0,2000.0,3.643759775161743,0.8725
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564246.166.h5,226.0,0.5,2000.0,3.646708221435547,0.845
